Id,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
HKG,Hong Kong - China,5407,8300,6075,3574,3951,3705,3256,3527,3373,2651,2432,2306,2104,2226,2278,2085,2510
HUN,Hungary,1023,1263,1274,1021,1272,1567,1704,1266,1127,1314,1022,1044,1054,1052,996,1095,1048
ISL,Iceland,129,134,93,97,105,135,145,95,122,131,105,90,103,139,86,104,97
IND,India,41903,70032,70823,50228,70151,84680,61369,65353,63352,57304,69162,69013,66434,68458,77908,64116,64687
IDN,Indonesia,1767,2525,2418,1805,2419,3924,4868,3716,3606,3679,3032,2856,2603,2731,2139,2084,2129
IRN,Iran,8487,10425,12960,7230,10434,13887,13947,10460,13852,18553,14182,14822,12916,12863,11615,13114,13298
IRQ,Iraq,5087,4965,5174,2450,3494,4077,4337,3765,4795,12110,19855,21133,20369,9552,19153,21107,18904
IRL,Ireland,1296,1505,1398,983,1531,2088,1906,1503,1465,1637,1507,1371,1514,1626,1605,1607,1759
ISR,Israel,2783,3744,3826,2741,4160,5755,5943,4496,5851,5612,4515,3826,4153,3996,3805,3965,4142
ITA,Italy,2448,3096,2578,1644,2346,3066,3215,2569,2514,2892,2579,2443,2673,2960,3298,3544,4078
JAM,Jamaica,15949,15322,14835,13347,14430,18345,24976,19375,18477,21783,19825,19662,20705,19400,19026,17642,23350
JPN,Japan,7049,9578,8248,5971,7697,8768,8265,6748,6821,7690,6264,6161,6061,5925,5545,5395,5207
JOR,Jordan,3900,4572,3964,2927,3431,3748,4038,3917,3936,4282,3868,3876,4099,4188,5187,4664,5269
KAZ,Kazakhstan,1493,2310,2315,1740,1906,2223,2073,1604,1630,1562,1282,1235,1202,1241,1221,1201,1310
KEN,Kenya,2197,2501,3199,3209,5335,5347,8779,7030,6998,9880,7421,7762,7043,6123,5884,5602,6274
KIR,Kiribati,3,0,4,4,2,4,8,10,4,10,6,2,6,3,6,4,9
KOR,Korea,15721,20532,20724,12382,19766,26562,24386,22405,26666,25859,22227,22824,20846,23166,20423,17138,21801
KWT,Kuwait,1015,1258,1056,707,1091,1152,1230,1017,1104,1124,1037,973,1044,937,1057,1055,1186
KGZ,Kyrgyzstan,388,582,473,356,439,656,785,597,632,574,507,542,648,652,707,790,847
LAO,Laos,1358,1398,1245,896,1147,1242,2892,2575,2198,1688,1200,956,949,923,806,917,856
LVA,Latvia,548,711,683,458,605,768,892,568,455,444,435,426,436,424,384,480,391
LBN,Lebanon,3662,4579,3935,2956,3818,4282,4083,4267,4254,3831,3487,3295,2879,2783,3245,2813,2971
LSO,Lesotho,9,6,13,5,14,12,18,14,16,14,23,25,17,20,13,23,19
LBR,Liberia,1570,2273,2869,1766,2757,4880,6887,4102,7193,7641,4837,4151,4109,3334,3874,3795,3619
LBY,Libya,180,223,158,140,185,223,271,186,285,296,355,357,315,376,524,734,642
LIE,Liechtenstein,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0
LTU,Lithuania,1349,1732,1786,2266,2480,2417,1885,1361,967,1069,985,936,924,854,747,750,735
LUX,Luxembourg,26,34,32,16,13,35,28,39,28,30,22,24,19,40,26,27,34
MAC,Macau,270,340,284,244,192,133,189,178,205,158,143,130,120,106,105,99,109
MKD,Former Yug. Rep. of Macedonia,790,921,821,653,775,1070,1317,1227,1107,1128,963,1078,906,895,960,1060,1262
MDG,Madagascar,33,61,43,40,54,60,72,53,77,71,80,83,79,95,86,72,88
MWI,Malawi,61,70,56,62,83,131,131,123,133,164,164,123,192,159,172,160,205
MYS,Malaysia,1551,2439,2124,1200,1987,2632,2281,2149,1945,2014,1714,2273,2605,2477,2622,2749,3382
MDV,Maldives,0,9,9,15,7,6,2,9,2,6,5,3,3,5,13,8,11
MLI,Mali,109,119,105,124,163,277,408,412,523,576,528,629,734,667,604,587,598
MLT,Malta,54,57,44,37,57,74,70,53,66,58,74,51,62,43,39,58,65
MHL,Marshall Islands,3,0,26,26,48,32,53,48,39,48,37,38,50,46,56,32,32
MRT,Mauritania,88,117,124,131,170,275,720,651,844,597,495,393,410,354,320,298,317
MUS,Mauritius,54,84,83,57,65,99,108,88,83,110,84,101,77,83,81,96,110
MEX,Mexico,173493,205560,218822,115585,175411,161445,173749,148640,189989,164920,139120,143446,146406,135028,134052,158619,174534
FSM,Micronesia,5,9,0,4,5,6,12,7,13,16,10,9,13,4,5,6,11
MDA,Moldova,1251,2068,2103,1151,1507,3506,3036,1356,1692,2295,1981,2258,2021,2485,2341,2496,2929
MCO,Monaco,12,9,17,0,7,7,4,6,7,4,12,6,5,8,8,10,11
MNG,Mongolia,46,102,135,153,229,323,497,530,659,831,594,774,691,729,651,644,750
MNE,Montenegro,0,0,0,0,0,0,0,0,0,0,120,204,265,265,289,251,387
MAR,Morocco,3614,4958,3387,3137,4128,4411,4949,4513,4425,5447,5013,4399,3656,3336,3605,3710,4586
MOZ,Mozambique,41,48,54,36,59,54,78,81,69,66,53,60,94,73,71,107,101
MMR,Myanmar,1201,1373,1356,1193,1379,2095,4562,3130,3403,13621,12925,16518,17383,12565,11144,12808,13065
NAM,Namibia,30,54,46,40,40,63,56,57,46,53,60,43,59,57,44,86,87
NRU,Nauru,0,0,6,4,4,0,0,0,0,0,0,0,8,3,0,0,0
NPL,Nepal,616,945,1137,2095,2878,3158,3733,3472,4093,4514,7115,10166,11312,13046,12357,12926,12851
NLD,Netherlands,1337,1679,1549,981,1303,1815,1651,1368,1240,1499,1321,1085,1091,1142,1195,1309,1319
NZL,New Zealand,964,1205,1117,877,1131,1293,1100,1047,893,947,919,803,814,921,796,855,846
NIC,Nicaragua,20947,19634,10659,4094,4009,3305,4145,3716,3614,4137,3565,3401,3046,3048,2886,3324,3486
NER,Niger,30,1330,1263,808,62,126,116,97,107,183,96,96,48,37,71,55,119
NGA,Nigeria,7831,8253,8105,7872,9374,10597,13459,12448,12475,15253,13376,11824,13575,13840,12828,11542,14380
NOR,Norway,459,547,431,320,405,423,481,343,350,407,334,339,276,335,271,310,362
OMN,Oman,51,55,61,76,122,101,155,103,70,74,63,60,74,73,90,85,116
PAK,Pakistan,14504,16393,13694,9415,12086,14926,17418,13492,19719,21555,18258,15546,14740,13251,18612,18057,19313
PLW,Palau,3,3,10,8,6,8,8,11,6,16,18,7,10,16,12,15,14
PAN,Panama,1829,1867,1680,1164,1417,1815,2418,1916,1678,1806,1536,1374,1281,1234,1095,1052,1029
PNG,Papua New Guinea,21,26,26,34,19,44,30,31,15,19,30,20,21,27,18,11,23
PRY,Paraguay,338,401,356,207,328,516,719,545,481,530,467,500,467,448,391,382,434
PER,Peru,9579,11062,11918,9409,11794,15676,21718,17699,15184,16957,14247,14064,12609,12564,10606,10148,10940
PHL,Philippines,42343,52919,51040,45250,57846,60746,74606,72596,54030,60029,58173,57011,57327,54446,49996,56478,53287
POL,Poland,10090,11769,12711,10510,14326,15351,17051,10355,8354,8754,7643,6863,6300,6430,5689,5275,5603
PRT,Portugal,1343,1609,1313,808,1069,1125,1409,1019,772,946,755,821,811,918,892,857,1006
QAT,Qatar,97,125,108,72,125,174,226,138,151,134,148,193,141,191,202,229,272
ROU,Romania,6863,6628,4887,3655,4571,7103,7137,5802,4930,4910,4003,3882,3748,3773,3246,3376,3554
RUS,Russia,16940,20313,20771,13935,17410,18055,13159,9426,11695,8238,6718,7944,9969,9753,9079,8799,9297
RWA,Rwanda,73,148,217,109,163,276,502,357,378,952,489,520,592,540,555,732,1357
KNA,Saint Kitts and Nevis,500,463,342,310,299,342,458,347,363,310,339,350,311,259,263,222,250
LCA,Saint Lucia,599,674,583,488,616,832,1212,928,946,1027,872,785,919,853,844,739,777
VCT,Saint Vincent and the Grenadines,497,559,480,322,400,625,756,567,568,591,576,468,503,529,448,415,422
WSM,Samoa,184,165,157,178,203,173,283,290,227,250,219,267,238,237,239,207,219
STP,Sao Tome and Principe,8,0,4,0,9,8,6,7,7,11,10,9,12,6,5,6,12
SAU,Saudi Arabia,1063,1178,1014,735,906,1210,1542,1171,1194,1418,1263,1396,1343,1463,1696,1744,2117
SEN,Senegal,554,663,530,522,769,913,1367,1024,1149,1524,1285,1424,1615,1340,1273,1244,1533
SCG,Serbia and Montenegro,2742,6203,10387,2994,3331,5202,5891,3586,3255,3166,2196,1398,801,653,267,232,202
SYC,Seychelles,18,18,20,16,25,16,15,7,16,10,8,15,7,6,7,11,16
SLE,Sierra Leone,1585,1878,2246,1492,1596,2731,3572,1999,2795,2687,2011,1985,1688,1651,1740,1599,1535
SRB,Serbia,0,0,0,0,0,0,0,0,0,0,20,244,704,866,1143,1278,1351
SGP,Singapore,668,1100,1033,582,966,1204,997,985,922,832,774,690,712,835,779,781,812
SVK,Slovak Republic,549,809,725,674,800,965,1111,763,653,706,538,594,528,507,460,424,483
SVN,Slovenia,76,142,140,64,88,114,115,87,79,108,74,69,86,62,78,107,119
SLB,Solomon Islands,7,7,7,5,6,3,5,10,7,0,6,0,0,3,5,0,3
SOM,Somalia,2393,3007,4535,2444,3929,5829,9462,6251,10745,13390,4558,4451,5204,3764,5190,6796,6958
ZAF,South Africa,2824,4090,3861,2210,3370,4536,3201,2988,2723,3171,2758,2649,2781,2629,2676,2907,3023
ESP,Spain,1254,1711,1361,917,1339,1888,1971,1578,1621,1769,1684,1890,1842,2480,2928,3303,3519
LKA,Sri Lanka,1118,1505,1529,1246,1431,1894,2191,1831,1935,2009,2036,2053,1994,1847,1767,1763,1913
SDN,Sudan,1531,1650,2921,1883,3211,5231,5504,2930,3598,3577,2397,2628,2471,1945,2442,3580,3159
SUR,Suriname,256,245,247,180,166,300,314,197,218,227,216,196,187,178,158,134,156
SWZ,Swaziland,12,18,12,23,15,16,11,13,18,42,22,19,24,15,23,19,20
SWE,Sweden,1264,1682,1376,963,1270,1517,1376,1145,1019,1138,1097,979,968,1106,954,1066,1144
CHE,Switzerland,1029,1298,1004,632,855,1092,983,705,720,798,675,615,635,697,656,640,743
SYR,Syria,2367,3350,2557,1938,2256,2831,2918,2385,2641,2442,2555,2785,3014,3366,3540,3840,4800
TWN,Chinese Taipei,9019,12120,9775,6917,9005,9196,8086,8990,9073,8038,6732,6154,5331,5385,4697,4888,5120
TJK,Tajikistan,156,187,181,137,167,207,239,172,231,265,299,382,411,550,516,595,593
TZA,Tanzania,480,476,577,554,747,829,949,832,838,2773,1850,1427,1516,837,774,799,788
THA,Thailand,3753,4245,4144,3126,4318,5505,11749,8751,6637,10444,9384,9962,9459,7583,6197,7502,7039
TLS,Timor-Leste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
TGO,Togo,386,487,935,1187,2041,1523,1720,1565,1661,1680,1563,1506,1756,1257,1612,1547,1938
